publication;author;department;isauthor;code
2456;74;4;1;1087
2457;74;4;0;1088
2458;74;4;1;1089
2459;74;4;1;1090
2460;74;4;1;1091
2461;74;4;1;1092
2462;74;4;1;1093
2463;74;4;1;1094
2464;74;4;1;1095
2465;74;4;1;1096
2466;74;4;1;1097
2467;74;4;1;1098
2468;74;4;1;1099
2469;74;4;1;1100
2470;74;4;1;1101
2471;74;4;1;1102
2472;74;4;1;1103
2473;74;4;1;1104
2474;74;4;1;1105
2475;74;4;1;1106
2476;74;4;1;1107
2477;74;4;1;1108
2478;74;4;1;1109
2478;66;4;0;1110
2479;74;4;1;1111
2479;66;4;0;1112
2479;336;1;0;1113
2480;74;4;1;1114
2481;74;4;1;1115
2482;332;20;1;1116
2483;332;20;1;1117
2484;332;20;1;1118
2485;332;20;1;1119
2486;332;20;1;1120
2487;332;20;1;1121
2488;332;20;1;1122
2489;332;20;1;1123
2490;332;20;1;1124
2491;332;20;1;1125
2492;332;20;1;1126
2493;332;20;1;1127
2494;332;20;1;1128
2495;74;20;1;1129
2496;74;20;0;1130
2496;66;4;1;1131
2497;136;9;1;1132
2498;136;9;1;1133
2499;136;9;1;1134
2500;131;9;1;1135
2500;136;9;0;1136
2501;288;15;1;1137
2502;254;16;1;1138
2503;322;20;1;1139
2504;322;20;1;1140
2505;257;16;1;1141
2506;257;16;1;1142
2507;254;16;1;1143
2508;269;17;1;1144
2508;271;17;0;1145
2509;260;16;1;1146
2510;318;20;1;1147
2512;279;15;1;1148
2514;18;1;1;1149
2508;325;20;0;1150
2515;322;20;1;1151
2515;259;16;0;1152
2515;35;2;0;1153
2516;332;20;1;1154
2517;332;20;0;1155
2518;332;20;1;1156
2519;332;20;1;1157
2520;332;20;1;1158
2521;237;13;1;1159
2522;323;20;1;1160
2523;323;20;1;1161
2524;323;20;1;1162
2525;323;20;1;1163
2526;323;20;1;1164
2526;107;7;0;1165
2527;323;20;1;1166
2528;323;20;1;1167
2529;323;20;1;1168
2530;323;20;1;1169
2531;294;18;1;1170
2532;323;20;1;1171
2533;323;20;1;1172
2534;323;20;1;1173
2533;326;20;0;1174
2533;318;20;0;1175
2511;323;20;1;1176
2513;323;20;1;1177
2513;318;20;0;1178
2513;107;7;0;1179
2363;323;20;1;1180
2363;13;1;0;1181
2363;1;1;0;1182
2535;318;20;1;1183
2535;288;15;0;1184
2536;323;20;1;1185
2537;323;20;1;1186
2538;323;20;1;1187
2538;93;6;0;1188
2538;95;6;0;1189
2539;323;20;1;1190
2539;326;20;0;1191
2540;323;20;1;1192
2540;107;7;0;1193
2540;117;7;0;1194
2541;105;7;1;1195
2541;323;20;0;1196
2541;318;20;0;1197
2542;323;20;1;1198
2542;107;7;0;1199
2542;117;7;0;1200
2543;323;20;1;1201
2543;107;7;0;1202
2543;117;7;0;1203
2544;323;20;1;1204
2544;113;7;0;1205
2545;323;20;1;1206
2546;323;20;1;1207
2547;323;20;1;1208
2548;323;20;1;1209
2549;323;20;1;1210
2550;323;20;1;1211
2551;323;20;1;1212
2551;107;7;0;1213
2552;323;20;1;1214
2553;323;20;1;1215
2554;323;20;1;1216
2554;107;7;0;1217
2555;323;20;1;1218
2556;323;20;1;1219
2556;326;20;0;1220
2557;323;20;1;1221
2558;323;20;1;1222
2558;314;19;0;1223
2559;323;20;1;1224
2560;323;20;1;1225
2561;323;20;1;1226
2562;323;20;1;1227
2562;107;7;0;1228
2563;323;20;1;1229
2563;107;7;0;1230
2564;323;20;1;1231
2565;323;20;1;1232
2566;323;20;1;1233
2567;323;20;1;1234
2568;323;20;1;1235
2569;323;20;1;1236
2570;323;20;1;1237
2571;323;20;1;1238
2572;323;20;1;1239
2572;119;7;0;1240
2573;323;20;1;1241
2574;323;20;1;1242
2575;323;20;1;1243
2576;323;20;1;1244
2576;119;7;0;1245
2577;323;20;1;1246
